Year,Observation status,Unit multiplier,SERIES,Reference area,Sex,Degree of urbanisation,UNIT_MEASURE,GeoCode,Value
2006,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],Volta,,,Percent,04_o,37.3
2006,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],Eastern,,,Percent,05_o,17.8
2006,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],Ashanti,,,Percent,06_o,24.0
2006,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],Brong Ahafo,,,Percent,07_o,34.0
2006,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],Northern,,,Percent,08_o,55.7
2006,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],Upper East,,,Percent,09_o,72.9
2006,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],Upper West,,,Percent,10_o,89.1
1999,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],,,,Percent,,39.5
1999,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],,,Rural,Percent,,19.4
1999,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],,,Urban,Percent,,49.5
1999,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],,Male,,Percent,,41.0
1999,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],,Female,,Percent,,35.2
1999,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],Western,,,Percent,01_o,27.3
1999,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],Central,,,Percent,02_o,48.4
1999,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],Greater Accra,,,Percent,03_o,5.2
1999,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],Volta,,,Percent,04_o,37.7
1999,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],Eastern,,,Percent,05_o,43.7
1999,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],Ashanti,,,Percent,06_o,27.7
1999,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],Brong Ahafo,,,Percent,07_o,35.8
1999,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],Northern,,,Percent,08_o,69.2
1999,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],Upper East,,,Percent,09_o,88.2
1999,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],Upper West,,,Percent,10_o,83.9
1992,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],,,,Percent,,51.7
1992,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],,,Rural,Percent,,27.7
1992,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],,,Urban,Percent,,63.6
1992,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],,Male,,Percent,,54.9
1992,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],,Female,,Percent,,43.1
1992,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],Western,,,Percent,01_o,59.6
1992,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],Central,,,Percent,02_o,44.3
1992,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],Greater Accra,,,Percent,03_o,25.8
1992,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],Volta,,,Percent,04_o,57.0
1992,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],Eastern,,,Percent,05_o,48.0
1992,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],Ashanti,,,Percent,06_o,41.2
1992,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],Brong Ahafo,,,Percent,07_o,65.0
1992,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],Northern,,,Percent,08_o,63.4
1992,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],Upper East,,,Percent,09_o,66.9
1992,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],Upper West,,,Percent,10_o,88.4
