Year,Observation status,Unit multiplier,SERIES,Reference area,COMPOSITE_BREAKDOWN,UNIT_MEASURE,GeoCode,Value
2019,Normal value,Units,"Budget Allocation towards reducing poverty proportion of men, women and children by at least half (in million Ghana Cedi)",,,_L_GH_CEDI,,1.75
2019,Normal value,Units,Budget Allocation towards Social dimension (in million Ghana Cedi),,Government of Ghana,_L_GH_CEDI,,170.08
2019,Normal value,Units,Budget Allocation towards Social dimension (in million Ghana Cedi),,Internally Generated Funds,_L_GH_CEDI,,1.26
2019,Normal value,Units,Budget Allocation towards Social dimension (in million Ghana Cedi),,Other Fund,_L_GH_CEDI,,0.53
2019,Normal value,Units,Budget Allocation towards Social dimension (in million Ghana Cedi),,Statutory,_L_GH_CEDI,,20.7
2019,Normal value,Units,Budget Allocation towards Social dimension (in million Ghana Cedi),,Development Partner,_L_GH_CEDI,,1.64
2019,Normal value,Units,Budget Allocation towards Social dimension (in million Ghana Cedi),,,_L_GH_CEDI,,194.21
2019,Normal value,Units,Budget Allocation towards Equal rights to basic services (in million Ghana Cedi),,Government of Ghana,_L_GH_CEDI,,0.12
2019,Normal value,Units,Budget Allocation towards Equal rights to basic services (in million Ghana Cedi),,Internally Generated Funds,_L_GH_CEDI,,0.03
2019,Normal value,Units,Budget Allocation towards Equal rights to basic services (in million Ghana Cedi),,Other Fund,_L_GH_CEDI,,0.0
2019,Normal value,Units,Budget Allocation towards Equal rights to basic services (in million Ghana Cedi),,Statutory,_L_GH_CEDI,,1.75
2019,Normal value,Units,Budget Allocation towards Equal rights to basic services (in million Ghana Cedi),,Development Partner,_L_GH_CEDI,,0.0
2019,Normal value,Units,Budget Allocation towards Equal rights to basic services (in million Ghana Cedi),,,_L_GH_CEDI,,1.89
2019,Normal value,Units,Budget Allocation towards Building resilience of the poor and vulnerable (in million Ghana Cedi),,Government of Ghana,_L_GH_CEDI,,12.38
2019,Normal value,Units,Budget Allocation towards Building resilience of the poor and vulnerable (in million Ghana Cedi),,Internally Generated Funds,_L_GH_CEDI,,0.77
2019,Normal value,Units,Budget Allocation towards Building resilience of the poor and vulnerable (in million Ghana Cedi),,Other Fund,_L_GH_CEDI,,0.78
2019,Normal value,Units,Budget Allocation towards Building resilience of the poor and vulnerable (in million Ghana Cedi),,Statutory,_L_GH_CEDI,,7.58
2019,Normal value,Units,Budget Allocation towards Building resilience of the poor and vulnerable (in million Ghana Cedi),,Development Partner,_L_GH_CEDI,,4.85
2019,Normal value,Units,Budget Allocation towards Building resilience of the poor and vulnerable (in million Ghana Cedi),,,_L_GH_CEDI,,26.35
2019,Normal value,Units,Budget Allocation towards Mobilisation of resources (in million Ghana Cedi),,Government of Ghana,_L_GH_CEDI,,0.11
2019,Normal value,Units,Budget Allocation towards Mobilisation of resources (in million Ghana Cedi),,Internally Generated Funds,_L_GH_CEDI,,0.11
2019,Normal value,Units,Budget Allocation towards Mobilisation of resources (in million Ghana Cedi),,Other Fund,_L_GH_CEDI,,0.0
2019,Normal value,Units,Budget Allocation towards Mobilisation of resources (in million Ghana Cedi),,Statutory,_L_GH_CEDI,,0.87
2019,Normal value,Units,Budget Allocation towards Mobilisation of resources (in million Ghana Cedi),,Development Partner,_L_GH_CEDI,,0.05
2019,Normal value,Units,Budget Allocation towards Mobilisation of resources (in million Ghana Cedi),,,_L_GH_CEDI,,1.14
2019,Normal value,Units,Budget Allocation towards Pro-poor and Gender (in million Ghana Cedi),,Government of Ghana,_L_GH_CEDI,,11.49
2019,Normal value,Units,Budget Allocation towards Pro-poor and Gender (in million Ghana Cedi),,Internally Generated Funds,_L_GH_CEDI,,0.07
2019,Normal value,Units,Budget Allocation towards Pro-poor and Gender (in million Ghana Cedi),,Other Fund,_L_GH_CEDI,,0.04
2019,Normal value,Units,Budget Allocation towards Pro-poor and Gender (in million Ghana Cedi),,Statutory,_L_GH_CEDI,,1.15
2019,Normal value,Units,Budget Allocation towards Pro-poor and Gender (in million Ghana Cedi),,Development Partner,_L_GH_CEDI,,0.0
2019,Normal value,Units,Budget Allocation towards Pro-poor and Gender (in million Ghana Cedi),,,_L_GH_CEDI,,12.75
2019,Normal value,Units,Total Budget Allocation towards SDG1 (No Poverty) for MDAs/MMDAs (in million Ghana Cedi),,Government of Ghana,_L_GH_CEDI,,273.92
2019,Normal value,Units,Total Budget Allocation towards SDG1 (No Poverty) for MDAs/MMDAs (in million Ghana Cedi),,Internally Generated Funds,_L_GH_CEDI,,2.3
2019,Normal value,Units,Total Budget Allocation towards SDG1 (No Poverty) for MDAs/MMDAs (in million Ghana Cedi),,Other Fund,_L_GH_CEDI,,66.75
2019,Normal value,Units,Total Budget Allocation towards SDG1 (No Poverty) for MDAs/MMDAs (in million Ghana Cedi),,Statutory,_L_GH_CEDI,,34.1
2019,Normal value,Units,Total Budget Allocation towards SDG1 (No Poverty) for MDAs/MMDAs (in million Ghana Cedi),,Development Partner,_L_GH_CEDI,,6.54
2019,Normal value,Units,Total Budget Allocation towards SDG1 (No Poverty) for MDAs/MMDAs (in million Ghana Cedi),,,_L_GH_CEDI,,383.61
2019,Normal value,Units,Percentage share of Budget Allocation towards SDG1 (No Poverty) for MDAs/MMDAs,,Government of Ghana,Percent,,71.4
2019,Normal value,Units,Percentage share of Budget Allocation towards SDG1 (No Poverty) for MDAs/MMDAs,,Internally Generated Funds,Percent,,0.6
2019,Normal value,Units,Percentage share of Budget Allocation towards SDG1 (No Poverty) for MDAs/MMDAs,,Other Fund,Percent,,17.4
2019,Normal value,Units,Percentage share of Budget Allocation towards SDG1 (No Poverty) for MDAs/MMDAs,,Statutory,Percent,,8.9
2019,Normal value,Units,Percentage share of Budget Allocation towards SDG1 (No Poverty) for MDAs/MMDAs,,Development Partner,Percent,,1.7
2019,Normal value,Units,Percentage share of Budget Allocation towards SDG1 (No Poverty) for MDAs/MMDAs,,,Percent,,100.0
